name,image,category,trailer,stars,platform
Camera Café,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714743195/NarcisoIPTV/camera_cafe_gmlqwt.jpg,Comedy,https://www.youtube.com/watch?v=10XQI8hSIcw,3,Hbo Max
Carmina y Amén,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714743280/NarcisoIPTV/carmina_y_amen_esojaf.jpg,Comedy,https://www.youtube.com/watch?v=JdIL4FkmH_E&t=11s,4,Hbo Max
Clear History,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744141/NarcisoIPTV/clear_history_w4av4z.jpg,Comedy,https://www.youtube.com/watch?v=iIrYd6fVpL8,4,Hbo Max
Con quién viajas,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744198/NarcisoIPTV/con_quien_viajas_d7xt8h.jpg,Comedy,https://www.youtube.com/watch?v=dbq2fH0Y0bI,4,Hbo Max
Cómo acabar con tu jefe,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744347/NarcisoIPTV/horrible_bosses_yavnjj.jpg,Comedy,https://www.youtube.com/watch?v=CNZXRYrDjDs,3,Hbo Max
De boda en boda,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744420/NarcisoIPTV/wedding_crashers_w7u0xj.jpg,Comedy,https://www.youtube.com/watch?v=wKahFEgeRg8,4,Hbo Max
Dirty Grandpa,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744494/NarcisoIPTV/dirtyGrandpa_xrxqw7.jpg,Comedy,https://www.youtube.com/watch?v=dbv3Mzf70LI,4,Hbo Max
Embarazados,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744599/NarcisoIPTV/embarazado_nkya2b.jpg,Comedy,https://www.youtube.com/watch?v=5BXd5vBJ2-8&t=2s,3,Hbo Max
La fiesta de la Vida,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744676/NarcisoIPTV/ein_fest_furs_leben_rqq8cv.jpg,Comedy,https://www.youtube.com/watch?v=4_cbTqM9rac,4,Hbo Max
House Party,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744761/NarcisoIPTV/house_party_a4541m.jpg,Comedy,https://www.youtube.com/watch?v=WZH3aoJgoAc,2,Hbo Max
Little Nicky,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744830/NarcisoIPTV/little_nicky_cxgs1e.jpg,Comedy,https://www.youtube.com/watch?v=RweuXnkWY3U,3,Hbo Max
Mamá o Papá,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714744948/NarcisoIPTV/mama_o_papa_ahg6sz.jpg,Comedy,https://www.youtube.com/watch?v=j6l3u0at97o&t=3s,4,Hbo Max
Máscara,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745001/NarcisoIPTV/the_mask_zhuu95.jpg,Comedy,https://www.youtube.com/watch?v=d_f-htgnr-M,4,Hbo Max
Annabelle,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745113/NarcisoIPTV/annabelle_cd63z4.jpg,Horror,https://www.youtube.com/watch?v=8kmLHwKH31M&t=2s,3,Hbo Max
Annabelle Creation,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745134/NarcisoIPTV/annabelle_creation_dhfuww.jpg,Horror,https://www.youtube.com/watch?v=z8JQFAavU6M&t=3s,4,Hbo Max
Barco Fantasma,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745207/NarcisoIPTV/ghost_ship_dpqsup.jpg,Horror,https://www.youtube.com/watch?v=lsUYQlAuPFs&t=2s,2,Hbo Max
La cara del terror,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745315/NarcisoIPTV/the_astronaut_s_wife_haqnbw.jpg,Horror,https://www.youtube.com/watch?v=cGsf3TyHcAs,4,Hbo Max
Doctor Sueño,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745385/NarcisoIPTV/doctor_sleep_oae17f.jpg,Horror,https://www.youtube.com/watch?v=M1JL4xhF_k8&t=62s,3,Hbo Max
IT,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745511/NarcisoIPTV/it_pktyjy.jpg,Horror,https://www.youtube.com/watch?v=_oBZ_zTz0Nw&t=75s,4,Hbo Max
IT 2 ,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745563/NarcisoIPTV/it_chapter2_dxbznl.jpg,Horror,https://www.youtube.com/watch?v=nN1CqQgWFCM,3,Hbo Max
Maligno,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745621/NarcisoIPTV/malignant_xoanex.jpg,Horror,https://www.youtube.com/watch?v=HiRtqjgUBko,4,Hbo Max
La monja,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745699/NarcisoIPTV/the_nun_ijc8yx.jpg,Horror,https://www.youtube.com/watch?v=AKpPeLAMY9I,3,Hbo Max
La monja II,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745740/NarcisoIPTV/the_nun_ii_q9sq7z.jpg,Horror,https://www.youtube.com/watch?v=pdrPvHulyUY,3,Hbo Max
Nunca apagues la luz,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714745815/NarcisoIPTV/lights_out_qczqru.jpg,Horror,https://www.youtube.com/watch?v=w1VXHtIqrYU,3,Hbo Max
El rito,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715158968/NarcisoIPTV/the_rite_jnfvew.jpg,Horror,https://www.youtube.com/watch?v=t5vA--Agb3U,4,Hbo Max
Tótem,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159140/NarcisoIPTV/totem_qqdtpq.jpg,Horror,https://www.youtube.com/watch?v=ExHmr1Pa1Vw,3,Hbo Max
The bad Seed Returns,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159326/NarcisoIPTV/the_bad_seed_returns_bhhjpu.jpg,Horror,https://www.youtube.com/watch?v=VZPuuqgitxI,3,Hbo Max
El resplandor,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159211/NarcisoIPTV/the_shining_syvqmo.jpg,Horror,https://www.youtube.com/watch?v=A3q03BBwMp4,3,Hbo Max
El Caso Enfield,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159400/NarcisoIPTV/the_conjuring_2_the_enfield_poltergeist-489921396-large_j1uprv.jpg,Horror,https://www.youtube.com/watch?v=bynhxcPQRYA,4,Hbo Max
Obligado por el demonio,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159482/NarcisoIPTV/the_conjuring_the_devil_made_me_do_it_nuzqvd.jpg,Horror,https://www.youtube.com/watch?v=_LeRZFHqYLw,4,Hbo Max
The conjuring,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159608/NarcisoIPTV/the_conjuring_the_warren_osfmdx.jpg,Horror,https://www.youtube.com/watch?v=1kOlrEwTfco,3,Hbo Max
Cigüeñas,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715159652/NarcisoIPTV/storks-_ogp6yi.jpg,Kids,https://www.youtube.com/watch?v=_2DO65R2Kds,3,Hbo Max
Elf,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715167350/NarcisoIPTV/elf_ahlkoj.jpg,Kids,https://www.youtube.com/watch?v=52Z1dqbZfEM,4,Hbo Max
Happy Feet,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715167530/NarcisoIPTV/happy_feet_vgvcew.jpg,Kids,https://www.youtube.com/watch?v=E4Bf-zf7Y40,3,Hbo Max
Happy Feet 2,https://res.cloudinary.com/dnju3aw4b/image/upload/v1715167608/NarcisoIPTV/happy_feet_two_gdplke.jpg,Kids,https://www.youtube.com/watch?v=Ic4NtR7HDBU,3,Hbo Max
